Year,Month,Day,country,country_txt,region,region_txt,provstate,city,latitude,longitude,summary,alternative_txt,attacktype1_txt,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,gname,motive,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,nwound,addnotes,scite1,scite2,scite3
2017,1,1,209,Turkey,10,Middle East & North Africa,Istanbul,Istanbul,41.106178,28.689863,"01/01/2017: An assailant opened fire on civilians celebrating the new year outside Reina Nightclub in Ortakoy neighborhood, Istanbul, Turkey. At least 39 people were killed and 69 other people, including a United States citizen, were injured in the assault. The victims included a number of foreign tourists. The assailant, identified as Abdulgadir Masharipov, was arrested on January 17, 2017. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility and stated that the attack was carried out in retaliation for Turkish airstrikes against ISIL.",,Armed Assault,Business,11.0,Entertainment/Cultural/Stadium/Casino,Reina Nightclub,Nightclub,209.0,Turkey,Islamic State of Iraq and the Levant (ISIL),The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident and stated that the attack was carried out in retaliation for Turkish airstrikes against ISIL.,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,39.0,69.0,"The victims included Lebanese civilians Elias Wardini, Rita Shami, Haikal Musalam, Bushra El Douaihy, United States civilian William Jacob Raak, Turkish police officer Burak Yildiz, Turkish civilian Hatice Karcilar, Ayhan Arik, Lutfu Uyanik, and Israeli civilian Leanne Nasser. Other unnamed victims were from Azerbaijan, Bulgaria, Canada, France, Germany, India, Iraq, Jordan, Kuwait, Libya, Morocco, Russia, Saudi Arabia, Syria, and Tunisia.","""Istanbul nightclub shooting suspect confesses, governor says,"" CNN, January 17, 2017.","""Islamic State claims responsibility for Istanbul nightclub attack,"" Los Angeles Times, January 2, 2017.","""Manhunt For Shooter After 39 Killed In Istanbul Nightclub Attack,"" Radio Free Europe, January 1, 2017."
2017,1,6,217,United States,1,North America,Florida,Fort Lauderdale,26.071231,-80.145668,"01/06/2017: An assailant opened fire at Fort Lauderdale-Hollywood International Airport in Fort Lauderdale, Florida, United States. At least five people were killed and six other people were injured in the assault. Esteban Santiago admitted that he had discussed his plans for the attack in various jihadi online chat rooms. Moreover, Santiago stated that the Central Intelligence Agency (CIA) was forcing him to view Islamic State of Iraq and the Levant (ISIL) videos.",Lack of Intentionality,Armed Assault,Airports & Aircraft,44.0,Airport,Fort Lauderdale-Hollywood International Airport,Airport,217.0,United States,Jihadi-inspired extremists,"An unaffiliated individual, identified as Esteban Santiago, admitted that he had discussed his plans for the attack in various jihadi online chat rooms. Moreover, Santiago stated that the Central Intelligence Agency (CIA) was forcing him to view Islamic State of Iraq and the Levant (ISIL) videos.",5,Firearms,3.0,Handgun,5.0,6.0,"Casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here. There is doubt that this incident meets terrorism-related criteria. Sources noted that Santiago was diagnosed with schizophrenia. Additionally, Santiago claimed that the United States government was controling his mind and forcing him to watch Islamic State of Iraq and the Levant (ISIL) videos, while the Central Intelligence Agency (CIA) was forcing him to join the group.","""US veteran arrested over Fort Lauderdale shooting,"" Al Jazeera, January 7, 2017.","""Fort Lauderdale airport shooter's motives still not clear, FBI says,"" CBC, January 7, 2017.","""Fort Lauderdale Shooting Exposes Airport Security Gaps, Experts Say,"" Time, January 6, 2017."
2017,1,24,33,Burkina Faso,11,Sub-Saharan Africa,Sahel,Lassa,14.280062,-1.687357,"01/00/2017: Sometime between January 16, 2017 and January 31, 2017, assailants entered a school in Lassa, Sahel, Burkina Faso. The assailants required that the educators teach Arabic or close the school. There were no reported casualties in the incident. No group claimed responsibility; however, sources attributed the attack to Muslim extremists.",,Armed Assault,Educational Institution,49.0,School/University/Educational Building,Unknown,School,33.0,Burkina Faso,Muslim extremists,,5,Firearms,5.0,Unknown Gun Type,0.0,0.0,,"""Two Dead In Burkina Faso 'Jihadist' Attack,"" AFP (World Service), March 3, 2017.","""Hosted Product: AQIM Newsletter 15 February 2017,"" Al Qa'ida in the Islamic Maghreb Newsletter, February 15, 2017.",
2017,1,31,217,United States,1,North America,Colorado,Denver,39.758967999999996,-104.876305,"01/31/2017: An assailant shot and killed Scott Von Lanken, a transit security guard, near Union Station in Denver, Colorado, United States. Joshua Cummings, a Muslim extremist, claimed responsibility for the incident and stated that he carried out the attack ""for the pleasure of Allah."" Cummings pledged allegiance to the Islamic State of Iraq and the Levant (ISIL) after his arrest, but he claimed that the attack was not in the name of ISIL.",,Armed Assault,Police,25.0,Police Security Forces/Officers,Regional Transportation District,Security Guard: Scott Von Lanken,217.0,United States,Jihadi-inspired extremists,"An unaffiliated individual, identified as Joshua Andrew Cummings, claimed responsibility for the incident and stated ""On the night in question, what I did do, I didn't do that for the Islamic State. I did that purely and solely for the pleasure of Allah."" Sources also noted that Cummings had pledged allegiance to the Islamic State of Iraq and the Levant (ISIL).",5,Firearms,3.0,Handgun,1.0,0.0,,"""Man Accused Of Killing RTD Guard: Actions Were 'For Pleasure Of Allah',"" CBS Local Denver, February 27, 2017.","""Denver Mosque Warned Feds About Murder Suspect's Alleged Radicalization,"" ABC News, February 2, 2017.","""Fountain Hills Church members remember former pastor who was gunned down in Denver,"" FOX 10 Phoenix, February 3, 2017."
2017,2,3,69,France,8,Western Europe,Ile-de-France,Paris,48.856644,2.34233,"02/03/2017: An assailant wielding two machetes attacked French Army soldiers outside the Louvre Museum in Paris, France. The soldiers opened fire, shooting and injuring the assailant, but not before one soldier was also injured. The assailant was identified as Abdallah El-Hamahmy, an Egyptian national, who was sympathetic to the plight of the Syrian people and supported the Islamic State of Iraq and the Levant (ISIL).",,Armed Assault,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",French Army,Soldiers,69.0,France,Jihadi-inspired extremists,"An unaffiliated individual, identified as Abdallah El-Hamahmy, claimed responsibility for the incident and stated that the attack was carried out in revenge for those in Syria. He also wrote about the Islamic State of Iraq and the Levant (ISIL) on his Twitter account prior to the attack.",9,Melee,23.0,Knife or Other Sharp Object,0.0,2.0,,"""Louvre suspect 'confirms identity',"" BBC, February 7, 2017.","""Paris - Louvre suspect may have tweeted about IS before attack,"" AFP (North European Service), February 4, 2017.","""Paris - Paris Louvre attack suspect says is Egyptian: probe source,"" AFP (North European Service), February 3, 2017."
2017,2,16,160,Philippines,5,Southeast Asia,Lanao del Sur,Marawi,8.003485000000001,124.294995,"02/16/2017: Assailants opened fire on soldiers conducting an intelligence-gathering operation in Marawi, Lanao del Sur, Philippines. At least two soldiers were killed and one soldier was injured in the ensuing clash. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack. Sources also attributed the incident to the Maute Group and the New People's Army (NPA).",Insurgency/Guerilla Action,Armed Assault,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Intelligence Service of the Armed Forces of the Philippines (ISAFP),"Soldiers: Major Jerico Mangalus, Corporal Bryan Libot, Corporal Rolando Cartilla",160.0,Philippines,Islamic State of Iraq and the Levant (ISIL),,5,Firearms,5.0,Unknown Gun Type,2.0,1.0,"Casualty numbers conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Jihadists kill 7 in Lanao operation,"" Manila Times (Philippines), February 18, 2017.","""Terrorists eyed in killing of ISAFP men in Marawi,"" Philippines Daily Inquirer, February 17, 2017.","""2 soldiers killed, 1 wounded in firefight with Maute group,"" Philippine Star, February 17, 2017."
2017,3,14,33,Burkina Faso,11,Sub-Saharan Africa,Sahel,Baraboule,14.20701,-1.852514,"03/14/2017: Assailants set fire to a school and abducted two people in Baraboule, Sahel, Burkina Faso. The outcome of the kidnapping is unknown. No group claimed responsibility for the attack; however, sources attributed the attack to Muslim extremists.",,Hostage Taking (Kidnapping),Educational Institution,49.0,School/University/Educational Building,Baraboule School,School,33.0,Burkina Faso,Muslim extremists,,8,Incendiary,18.0,Arson/Fire,,,,"""A new frontier for Islamist militants?,"" BBC, April 3, 2017.","""Two kidnapped and school burnt in Burkina Faso attack,"" Burkina24, March 15, 2017.","""Two kidnapped, school burnt in Burkina Faso attack.,"" CEO Africa.com, March 15, 2017."
2017,3,16,92,India,6,South Asia,Tamil Nadu,Coimbatore,11.016845,76.955832,"03/16/2017: Assailants attacked a Dravidar Viduthalai Kazhagam (DVK) activist identified as H Farook in Coimbatore, Tamil Nadu, India. Farook was killed in the attack. M. Ansath, a Muslim extremist, claimed responsibility for the incident.",,Armed Assault,Private Citizens & Property,82.0,Labor Union Related,Dravidar Viduthalai Kazhagam (DVK),Activist: H. Farook,92.0,India,Muslim extremists,"The specific motive is unknown; however, sources stated that H. Farook was killed because he posted an anti-Muslim image on his Facebook account.",9,Melee,23.0,Knife or Other Sharp Object,1.0,0.0,,"""India: Tamil Nadu Police Suspect Group Accused in Bengaluru Blast Involved in Activist's Murder,"" The Indian Express Online, March 24, 2017.","""Coimbatore: Man murdered over ‘anti-Muslim’ Facebook post; link to Bengaluru bomb blast convict suspected,"" Financial Express, March 20, 2017.","""Coimbatore: Man murdered for atheism, Bengaluru blast convict suspected,"" Deccan Chronicle, March 19, 2017."
2017,3,18,69,France,8,Western Europe,Ile-de-France,Paris,48.728162,2.364398,"03/18/2017: An assailant attacked a soldier at Orly Airport in Paris, France. The assailant held the soldier at gunpoint and attempted to seize her rifle before being shot and killed by security forces. Ziyed Ben Belgacem, a Muslim extremist, claimed responsibility for the incident and stated during the attack, ""I'm here to die in the name of Allah.""",,Hostage Taking (Barricade Incident),Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",French Armed Forces,Soldier,69.0,France,Muslim extremists,"An unaffiliated individual, identified as Ziyed Ben Belgacem, claimed responsibility for the incident and stated ""I'm here to die in the name of Allah.""",5,Firearms,3.0,Handgun,1.0,0.0,,"""Shooting at France’s Orly Airport Prompts Evacuation and Halt to Flights,"" New York Times, March 18, 2017.","""Paris - Paris airport attacker said he was 'ready to die for Allah',"" AFP (North European Service), March 18, 2017.","""CCTV footage emerges of Paris Orly gun attack,"" MaltaToday, March 21, 2017."
2017,3,22,603,United Kingdom,8,Western Europe,England,London,51.504387,-0.140041,"03/22/2017: An assailant drove a vehicle into pedestrians along the Westminster Bridge in London, United Kingdom. The assailant then fled the vehicle outside the Palace of Westminster, stabbing a police officer before being shot and killed by police forces. In addition to the assailant, five people were killed and at least 50 people were injured in the attack. Khalid Masood, a Muslim extremist, claimed responsibility for the incident and stated that the attack was carried out in retaliation for Western military offensives in the Middle East. The Islamic State of Iraq and the Levant (ISIL) also claimed responsibility for the incident; however, authorities doubted the veracity of this claim and could not confirm Masood's connection to ISIL.",,Armed Assault,Police,25.0,Police Security Forces/Officers,Metropolitan Police Parliamentary and Diplomatic Protection (PaDP),Officer: Keith Palmer,216.0,Great Britain,Muslim extremists,"Khalid Masood, an unaffiliated individual, claimed responsibility for the incident and stated that the attack was carried out in retaliation for Western military offensives in the Middle East.",9,Melee,23.0,Knife or Other Sharp Object,6.0,50.0,"The victims included Romanian civilians Andreea Cristea and Andrei Burnaz, United States civilians Kurt Cochran and Melissa Cochran, British civilians Leslie Rhodes and Aysha Frade, and French civilians. Casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Five dead and 40 injured in London attack,"" BBC, March 23, 2017.","""Westminster terror attacker Khalid Masood's final message revealed,"" The Telegraph, April 28, 2017.","""Romanian Woman Injured In London Attack Dies,"" Radio Free Europe, April 7, 2017."
