StateName,CountyFips,CountyTotalVote,VoteCount,VotePercent,State,Race/Ethnicity/Ancestry,Religion,Sexual orientation
alabama,71489,2078165,1306925.0,62.88841357640034,alabama,33.0,2.0,3.0
alaska,2000,246588,130415.0,52.887812870050446,alaska,31.0,0.0,2.0
arizona,60208,1960053,972900.0,49.63641289291667,arizona,537.0,170.0,192.0
arkansas,380625,1121684,677904.0,60.43627260440552,arkansas,38.0,2.0,11.0
california,351364,8930459,2969532.0,33.25172871853507,california,1854.0,619.0,800.0
colorado,515983,2401267,1075770.0,44.80009928092128,colorado,255.0,64.0,109.0
connecticut,72064,1528817,637919.0,41.72631518357004,connecticut,288.0,100.0,72.0
delaware,30009,441535,185103.0,41.9226108915488,delaware,37.0,7.0,7.0
florida,808550,9386750,4605515.0,49.06399978693371,florida,175.0,52.0,78.0
georgia,2092677,4029564,2068623.0,51.33614951890577,georgia,115.0,15.0,48.0
idaho,705936,688235,407199.0,59.165691951150414,idaho,72.0,27.0,17.0
illinois,1744404,5374280,2118179.0,39.413260939139754,illinois,270.0,46.0,92.0
indiana,1664464,2717840,1555020.0,57.21528861154446,indiana,186.0,32.0,47.0
iowa,1890801,1542880,798923.0,51.781279166234576,iowa,32.0,4.0,6.0
kansas,2111025,1147143,656009.0,57.18633160817789,kansas,179.0,27.0,36.0
kentucky,2534400,1923346,1202942.0,62.54423281094509,kentucky,502.0,114.0,91.0
louisiana,1412096,2027731,1178004.0,58.09468810212005,louisiana,53.0,20.0,22.0
maine,368256,736660,332591.0,45.14850813129531,maine,61.0,31.0,39.0
maryland,577079,2474543,873646.0,35.30534729038857,maryland,87.0,38.0,22.0
massachusetts,350196,3231531,1083069.0,33.51566177146375,massachusetts,759.0,296.0,328.0
michigan,2164889,4789450,2279210.0,47.588136424850454,michigan,935.0,171.0,201.0
minnesota,2356569,2911740,1321120.0,45.37218295589579,minnesota,294.0,84.0,92.0
mississippi,2302724,1162607,677782.0,58.29846199102534,mississippi,8.0,1.0,3.0
missouri,3348537,2775098,1585753.0,57.142234256231674,missouri,242.0,53.0,58.0
montana,1683136,484319,273696.0,56.5115141053727,montana,85.0,24.0,12.0
nebraska,2891649,805638,485819.0,60.30239387913679,nebraska,92.0,11.0,28.0
nevada,544774,1122990,511319.0,45.53192815608331,nevada,119.0,20.0,57.0
ohio,3439744,5325395,2771984.0,52.05217641132723,ohio,1213.0,117.0,248.0
oklahoma,3085929,1451056,947934.0,65.32718241060303,oklahoma,90.0,20.0,29.0
oregon,1477296,1808575,742506.0,41.05475305143552,oregon,160.0,45.0,48.0
pennsylvania,2818489,5970107,2912941.0,48.79210707613783,pennsylvania,166.0,40.0,31.0
tennessee,4474025,2484691,1517402.0,61.07004854929647,tennessee,545.0,68.0,109.0
texas,12256516,8903237,4681590.0,52.583009977157744,texas,373.0,85.0,162.0
utah,1421841,801248,375006.0,46.802737729142535,utah,160.0,46.0,27.0
vermont,700196,291279,95031.0,32.62542098812479,vermont,36.0,9.0,9.0
virginia,6818111,3844787,1731156.0,45.026057360264694,virginia,340.0,91.0,80.0
washington,2068521,2171453,827555.0,38.110656781427,washington,792.0,194.0,219.0
wisconsin,3965119,2944620,1409467.0,47.86583667841691,wisconsin,112.0,27.0,34.0
wyoming,1288529,248742,174248.0,70.05170015518087,wyoming,6.0,0.0,0.0
